"Story","Title","Result","Date","Stability","Duration (s)"
"Manage News Admin","POST - Create new news without fill description payload","SUCCESS","2023-06-25T18:00:05.0282292+07:00[Asia/Bangkok]","0.0","1.0"
"Manage News Admin","POST - Create new news only fill 1 char in title payload","SUCCESS","2023-06-25T18:00:06.0363216+07:00[Asia/Bangkok]","0.0","0.96"
"Manage News Admin","POST - Create new news only fill 1 char in description payload","SUCCESS","2023-06-25T18:00:07.0073906+07:00[Asia/Bangkok]","0.0","0.96"
"Manage News Admin","GET - News by invalid ID","SUCCESS","2023-06-25T18:00:15.8127255+07:00[Asia/Bangkok]","0.0","0.99"
